metric,win_start,win_end,n_arrays,n_subjects,contrast,sd,ci_lo,ci_hi,n_units,efficiency_vs_within
yield:active,6,12,6,3,between_subject,0.10547706978070856,0.05425226245314764,0.12107596295228605,3.0,36.95661274982961
yield:active,9,15,6,3,within,0.024671272410415942,0.013022374893252182,0.03488445224751108,6.0,1.0
yield:active,9,15,6,3,between_array,0.17076436317696442,0.0,0.27477764333196,3.0,47.90836928489888
yield:active,9,15,6,3,between_array_cleanpairs,0.292523139332728,0.292523139332728,0.292523139332728,1.0,140.58447193542597
yield:active,9,15,6,3,between_subject,0.17517910050134183,0.05871265949271237,0.17809179393571292,3.0,50.41752087764449
yield:active,12,18,6,3,within,0.030579933483522483,0.006353475757768286,0.045175097738471705,6.0,1.0
yield:active,12,18,6,3,between_array,0.16957330426589703,0.0,0.2884653845042779,3.0,30.749771492300603
yield:active,12,18,6,3,between_array_cleanpairs,0.30709485255345403,0.30709485255345403,0.30709485255345403,1.0,100.8490940288475
yield:active,12,18,6,3,between_subject,0.2129966326055796,0.011829447961068813,0.21765039802091543,3.0,48.51459409091457
yield:active,15,21,6,3,within,0.02373445924935742,0.009751197757963287,0.033150298945855285,6.0,1.0
yield:active,15,21,6,3,between_array,0.10084226266415247,0.002992255989375705,0.1821747073771123,3.0,18.052048030662974
yield:active,15,21,6,3,between_array_cleanpairs,0.19677117338656575,0.19677117338656575,0.19677117338656575,1.0,68.73283664486517
yield:active,15,21,6,3,between_subject,0.21732631463444346,0.007717075176987243,0.22430413502670735,3.0,83.84283365835866
yield:active,18,24,6,3,within,0.030991226347198843,0.010981007160824683,0.04426882189226028,6.0,1.0
yield:active,18,24,6,3,between_array,0.030862085805222355,0.003237403960979447,0.03306491298926026,3.0,0.991683357347564
yield:active,18,24,6,3,between_array_cleanpairs,0.014189456070626744,0.014189456070626744,0.014189456070626744,1.0,0.20963025939283864
yield:active,18,24,6,3,between_subject,0.19871986585456605,0.011625781475408747,0.21947231091738967,3.0,41.11544989240876
yield:active,21,27,6,3,within,0.03496138113747885,0.015599222179194572,0.05274403851911524,6.0,1.0
yield:active,21,27,6,3,between_array,0.03566432187808991,0.01431633897783907,0.03737762955777188,3.0,1.0406166720692194
yield:active,21,27,6,3,between_array_cleanpairs,0.01974389133012957,,,1.0,0.31892483691132745
yield:active,21,27,6,3,between_subject,0.2730540121144176,0.21537939155111527,0.2730540121144176,3.0,60.99861334844197
yield:active,24,30,2,1,within,0.013135281412556578,0.00416285128661781,0.018088422534777583,2.0,1.0
yield:active,24,30,2,1,between_array,0.025158740020032284,0.025158740020032284,0.025158740020032284,1.0,3.6685885935551235
yield:active,24,30,2,1,between_array_cleanpairs,,,,0.0,
yield:active,24,30,2,1,between_subject,,,,0.0,
yield:active,27,33,3,2,within,0.03136213892087244,0.0026096090271831955,0.08813830938882879,3.0,1.0
yield:active,27,33,3,2,between_array,0.02170138888888887,0.02170138888888887,0.02170138888888887,1.0,0.4788105497104134
yield:active,27,33,3,2,between_array_cleanpairs,,,,0.0,
yield:active,27,33,3,2,between_subject,,,,0.0,
yield:active,30,36,3,2,within,0.035757759109877746,0.0,0.07311061776088702,3.0,1.0
yield:active,30,36,3,2,between_array,0.003682847818679961,,,1.0,0.010607839943767884
yield:active,30,36,3,2,between_array_cleanpairs,,,,0.0,
yield:active,30,36,3,2,between_subject,,,,0.0,
yield:active,33,39,2,1,within,0.013176156917368259,0.0,0.01839345232192937,2.0,1.0
yield:active,33,39,2,1,between_array,,,,1.0,
yield:active,33,39,2,1,between_array_cleanpairs,,,,0.0,
yield:active,33,39,2,1,between_subject,,,,0.0,
yield:active,51,57,2,1,within,0.0,0.0,0.0,2.0,
yield:active,51,57,2,1,between_array,,,,1.0,
yield:active,51,57,2,1,between_array_cleanpairs,,,,0.0,
yield:active,51,57,2,1,between_subject,,,,0.0,
yield:active,54,60,2,1,within,0.001476840487897972,0.0,0.0020872604496053136,2.0,1.0
yield:active,54,60,2,1,between_array,0.001041666666666663,0.001041666666666663,0.001041666666666663,1.0,0.49749687108883456
yield:active,54,60,2,1,between_array_cleanpairs,,,,0.0,
yield:active,54,60,2,1,between_subject,,,,0.0,
yield:active,57,63,2,1,within,0.0012048244552950156,0.0,0.0017031683950053374,2.0,1.0
yield:active,57,63,2,1,between_array,0.0008505172717997116,0.0008505172717997116,0.0008505172717997116,1.0,0.4983319432860451
yield:active,57,63,2,1,between_array_cleanpairs,,,,0.0,
yield:active,57,63,2,1,between_subject,,,,0.0,
